#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               5              14      CASTOR_HAD 10.86525 11.13186 10.60499 10.43787  8.16982  8.33720  8.32627  8.16830   5600004E
               -1               6               1       CASTOR_EM 11.62641 10.72230 11.35628 11.45068  8.89995  8.86355  8.60005  8.57408   56000051
               -1               6               2       CASTOR_EM 11.22059 10.91522 11.25047 11.40399  7.84013  7.75942  7.42898  7.42773   56000052
               -1               6               3      CASTOR_HAD 10.80246 10.84815 10.82953 10.79828  7.75827  7.60600  7.39316  7.35071   56000053
               -1               6               4      CASTOR_HAD 13.54173 13.18229 13.56359 12.91939  6.53346  6.51979  6.45561  6.43924   56000054
               -1               6               5      CASTOR_HAD 11.49937 10.83274 11.31762 10.94325  8.12842  8.34637  8.25037  8.05776   56000055
               -1               6               6      CASTOR_HAD 11.12830 12.32677 11.54622 10.43691  8.49657  8.67929  8.65736  8.58418   56000056
               -1               6               7      CASTOR_HAD 10.74317 11.07753 11.59538 10.79102  8.89444  9.02892  8.97284  8.74567   56000057
               -1               6               8      CASTOR_HAD 11.20233 10.60503 10.96697 10.19488  7.79276  7.96495  7.97187  7.80672   56000058
               -1               6               9      CASTOR_HAD  9.65169 11.33141 11.29526 12.25580  8.04809  7.98592  7.94392  7.71651   56000059
               -1               6              10      CASTOR_HAD 10.07703 10.51360 10.95869 11.39572  7.03849  7.13897  7.08863  6.72745   5600005A
               -1               6              11      CASTOR_HAD  9.61920 10.15862 10.28774  9.72147  6.60246  6.60989  6.60036  6.50965   5600005B
               -1               6              12      CASTOR_HAD  9.04017 10.86791 12.79587 12.19082  6.74832  6.76083  6.76926  6.52556   5600005C
               -1               6              13      CASTOR_HAD 10.31863  9.80396 11.19420 11.57011  7.12731  7.09912  6.66576  6.62732   5600005D
               -1               6              14      CASTOR_HAD 10.38552 10.91353  9.63551  9.99289  7.35318  7.42516  7.44469  7.34132   5600005E
               -1               7               1       CASTOR_EM 10.44041 10.14300 10.11801 10.05674  7.34008  7.28908  7.10170  7.16032   56000061
               -1               7               2       CASTOR_EM 11.44007 12.71908 12.29323 12.47571 16.80244 16.72531 16.67363 16.65891   56000062
               -1               7               3      CASTOR_HAD 10.54410 11.05953 11.26614 10.81956  7.30462  7.24433  6.92664  6.96687   56000063
               -1               7               4      CASTOR_HAD 11.85646 11.11457 11.79795 11.75699  8.10930  8.07378  7.74886  7.72513   56000064
               -1               7               5      CASTOR_HAD  9.64910  9.34985  8.99310  9.80908  6.86316  6.69698  6.70509  6.66245   56000065
               -1               7               6      CASTOR_HAD 10.33873 10.65980 11.04427 11.04441  6.70432  6.67097  6.39718  6.40980   56000066
               -1               7               7      CASTOR_HAD  9.80631  9.44600  9.97494  9.67362 10.44643 10.28121 10.16534 10.25961   56000067
               -1               7               8      CASTOR_HAD 10.65911 10.60591 11.27809 11.89518  6.91458  6.83185  6.47437  6.44437   56000068
               -1               7               9      CASTOR_HAD 11.64374 11.89307 12.59513 11.68012  8.81252  8.67235  8.42741  8.41736   56000069
               -1               7              10      CASTOR_HAD 10.37674  9.74307 11.97728 10.53358  8.65923  8.52151  8.20381  8.42116   5600006A
               -1               7              11      CASTOR_HAD 12.14317  9.73679 10.95362 11.07796  7.32877  7.34222  7.08824  7.08177   5600006B
               -1               7              12      CASTOR_HAD 10.32420 10.23589 10.17022 10.74650  8.32656  8.27831  8.17419  8.06159   5600006C
               -1               7              13      CASTOR_HAD 11.39990 10.88084 11.20385 10.70853 19.98203 19.97168 19.90025 19.82252   5600006D
               -1               7              14      CASTOR_HAD 10.30469 10.24907 10.43722 10.83014  7.84306  7.94087  7.87186  7.60693   5600006E
               -1               8               1       CASTOR_EM 10.61977 10.76774 10.51478  9.94387  7.68929  7.64231  7.46223  7.57332   56000071
               -1               8               2       CASTOR_EM 10.23149 10.00110 10.29999 10.87934  6.98647  6.97373  6.81429  6.62708   56000072
               -1               8               3      CASTOR_HAD 10.98582 11.58962 11.75485 12.23932  7.69131  7.51125  7.16238  7.14146   56000073
               -1               8               4      CASTOR_HAD  9.93840  9.06256 10.79266 10.67470  8.34599  8.29791  8.01180  8.02914   56000074
               -1               8               5      CASTOR_HAD 10.45469  8.75683 10.38693  9.17195  7.55721  7.60410  7.33382  7.48849   56000075
               -1               8               6      CASTOR_HAD 10.23586 11.02164 10.61696 11.47852  6.92288  6.79642  6.60716  6.36719   56000076
               -1               8               7      CASTOR_HAD 10.63310 11.58773 11.53848 11.54971  7.93138  7.76279  7.46536  7.51471   56000077
               -1               8               8      CASTOR_HAD 28.00906 28.03513 28.43743 27.74756 1695.01904 1677.07971 1678.58801 1644.69653   56000078
               -1               8               9      CASTOR_HAD 10.80317 11.18682 10.83571 11.63156  8.30583  8.26128  8.01960  7.94896   56000079
               -1               8              10      CASTOR_HAD 11.09135 12.24637 10.40122 11.30535  9.58149  9.42543  9.49635  9.24394   5600007A
               -1               8              11      CASTOR_HAD 11.04368 11.28957 11.02200 10.86315  7.64031  7.52579  7.31680  7.30124   5600007B
               -1               8              12      CASTOR_HAD 11.13044 10.83321 11.31625 11.56117  7.06044  7.06126  6.67459  6.64554   5600007C
               -1               8              13      CASTOR_HAD 10.91723  9.94996 10.69744 10.99371  6.70770  7.03646  6.96309  6.66259   5600007D
               -1               8              14      CASTOR_HAD 12.28797 11.22616 12.21827 11.68331  7.23302  7.42425  6.88667  6.89349   5600007E
               -1               9               1       CASTOR_EM  9.27115 10.16044  8.57364  9.95520  6.74707  6.89006  6.63535  6.65084   56000081
               -1               9               2       CASTOR_EM  9.82276 10.14563  9.96731 10.49275  6.65616  6.54327  6.44059  6.33414   56000082
               -1               9               3      CASTOR_HAD 10.49536 10.29282 10.85699 11.38916  6.94615  6.86421  6.57075  6.45503   56000083
               -1               9               4      CASTOR_HAD 10.34843  9.32228 10.21703  9.65046  8.24137  8.33827  8.36509  8.31190   56000084
               -1               9               5      CASTOR_HAD 10.87519 10.79507 11.13918 11.37142  6.85778  7.05846  7.04696  6.76691   56000085
               -1               9               6      CASTOR_HAD 10.73252 10.56923 11.30098 11.24654  6.67632  6.85416  6.76101  6.44031   56000086
               -1               9               7      CASTOR_HAD  9.52162 11.82931 11.45799 11.58065  7.02304  6.97832  6.98764  6.72055   56000087
               -1               9               8      CASTOR_HAD 10.49079 10.12332 10.44398 11.06517  8.26641  8.38541  8.35245  8.05394   56000088
               -1               9               9      CASTOR_HAD 10.16779 10.06411 10.00165  9.93183  6.62180  6.70155  6.73368  6.61968   56000089
               -1               9              10      CASTOR_HAD  9.10618  9.46623  9.83558 10.58296  8.73872  8.67170  8.60010  8.45406   5600008A
               -1               9              11      CASTOR_HAD 10.11662  9.92786 10.42596 10.47324  8.14072  8.21992  8.18050  7.97713   5600008B
               -1               9              12      CASTOR_HAD 11.58867 10.88460 11.46911 11.68790  8.84895  9.10218  9.05447  8.76700   5600008C
               -1               9              13      CASTOR_HAD  9.71595 12.30454 11.60398 11.55005  6.75632  6.51686  6.63454  6.33784   5600008D
               -1               9              14      CASTOR_HAD 10.36206 11.76649 11.39224 11.31895  9.76556  9.58224  9.41206  9.54747   5600008E
               -1              10               1       CASTOR_EM 10.52188 11.15564 11.32434 11.58286  7.00428  6.92339  6.54526  6.57367   56000091
               -1              10               2       CASTOR_EM 10.96759 11.15235 10.95042 11.18755  8.28872  7.07425  6.77196  6.74206   56000092
               -1              10               3      CASTOR_HAD 12.07453 12.31347 13.23917 11.57858  7.54733  7.48778  7.37051  7.16817   56000093
               -1              10               4      CASTOR_HAD  9.82967  9.85881 10.52462 10.49579  7.39360  7.32387  7.10806  7.14242   56000094
               -1              10               5      CASTOR_HAD 11.58724 11.26535 11.73348 11.37764  6.57320  6.55018  6.21970  6.28024   56000095
               -1              10               6      CASTOR_HAD 10.68537 10.51121 11.00149 11.10507  6.73002  6.68580  6.36435  6.37709   56000096
               -1              10               7      CASTOR_HAD 10.40514 10.40234 10.20955 10.38652  7.27396  7.35728  7.32207  7.15446   56000097
               -1              10               8      CASTOR_HAD 10.75662 10.27028 12.13904 10.01472  7.15984  7.33599  7.20056  7.20113   56000098
               -1              10               9      CASTOR_HAD 10.64714 10.22845 10.61320 10.15794  8.94665  9.08443  9.06715  8.93845   56000099
               -1              10              10      CASTOR_HAD  9.78321 10.93025 10.67927 10.32706  7.41830  7.34102  7.08127  7.17921   5600009A
               -1              10              11      CASTOR_HAD 10.42458 11.62604 11.59738 10.88575  7.73296  7.55215  7.23174  7.33717   5600009B
               -1              10              12      CASTOR_HAD 10.69048 10.15185 11.57489 11.70075  7.98490  7.86687  7.57967  7.61240   5600009C
               -1              10              13      CASTOR_HAD 12.09771 11.18087 11.71367 11.76286  9.65468  9.56133  9.33559  9.28412   5600009D
               -1              10              14      CASTOR_HAD 11.46465 11.31037 11.57255 11.88208 12.87209 12.81919 12.41829 12.51477   5600009E
               -1              11               1       CASTOR_EM 11.11422 11.20965 11.18738 10.86986 10.14672 10.06269  9.78186  9.86432   560000A1
               -1              11               2       CASTOR_EM 10.19572 10.56626 10.39180 10.51634  7.97073  7.80743  7.63262  7.66866   560000A2
               -1              11               3      CASTOR_HAD  9.11409  9.89861  9.85116 10.49397 10.18442 10.01605  9.93211  9.85817   560000A3
               -1              11               4      CASTOR_HAD 11.41303 10.99342 11.94943  9.62376  7.87050  7.89885  7.50931  7.92442   560000A4
               -1              11               5      CASTOR_HAD 11.44865 10.82462 11.83736 11.88443  8.07985  8.03468  7.53304  7.58835   560000A5
               -1              11               6      CASTOR_HAD  9.80973 10.24218  9.43522  9.88652  6.94783  6.91983  6.87845  6.79028   560000A6
               -1              11               7      CASTOR_HAD 11.98952 11.89866 12.36627 12.66185  7.50175  7.49559  7.17705  7.23695   560000A7
               -1              11               8      CASTOR_HAD 10.33669  9.86278 10.18682 10.23921  9.61450  9.61776  9.45758  9.41389   560000A8
               -1              11               9      CASTOR_HAD 11.38993 10.95147 11.63550 11.25683  8.49937  8.43338  8.18521  8.18124   560000A9
               -1              11              10      CASTOR_HAD 11.03987 10.62811 10.63792 10.44744  6.48079  6.50965  6.28412  6.32233   560000AA
               -1              11              11      CASTOR_HAD 11.04691 11.80035 11.72947 11.74720  7.38753  7.23160  6.92838  6.99107   560000AB
               -1              11              12      CASTOR_HAD 11.46621 10.89883 11.46379 11.40588  8.21558  8.22113  7.82570  7.89148   560000AC
               -1              11              13      CASTOR_HAD 11.14541 11.33133 11.01880 10.73720  8.83910  9.01543  9.02124  8.78492   560000AD
               -1              11              14      CASTOR_HAD 10.70996 10.59949 10.05157  9.79620  7.87167  8.05097  7.98687  7.97478   560000AE
               -1              12               1       CASTOR_EM  9.80925 11.44703 11.08275 10.82526  8.22241  8.21298  7.96615  7.98116   560000B1
               -1              12               2       CASTOR_EM 11.59918 11.24366 11.54772 11.90424  7.49707  7.46487  7.14209  7.10109   560000B2
               -1              12               3      CASTOR_HAD  9.60991 10.87918 11.13612 11.37479  7.23862  7.13827  6.79274  6.69043   560000B3
               -1              12               4      CASTOR_HAD 11.68552 11.78757 12.09861 11.44908  8.29613  8.19269  7.91359  8.00754   560000B4
               -1              12               5      CASTOR_HAD 11.45507 11.08404 11.53411 11.76916  6.96420  6.92763  6.56535  6.53432   560000B5
               -1              12               6      CASTOR_HAD 10.61058 10.41230 10.78840 10.60323  8.40586  8.34626  8.00693  8.10587   560000B6
               -1              12               7      CASTOR_HAD  9.86636 10.86741 11.40786 11.25952 10.29488 10.14572  9.73296  9.78847   560000B7
               -1              12               8      CASTOR_HAD 10.47774 10.27624 11.32581 10.95669  8.48226  8.42928  8.03192  8.06669   560000B8
               -1              12               9      CASTOR_HAD  9.76030 10.09343 10.80293 10.59543  7.56454  7.58671  7.33780  7.34174   560000B9
               -1              12              10      CASTOR_HAD 12.00336 11.01925 11.97114 11.59674  7.34734  7.35992  6.97287  7.07823   560000BA
               -1              12              11      CASTOR_HAD 10.17780 10.54206 10.43221 11.01932  6.79164  6.67454  6.52956  6.38887   560000BB
               -1              12              12      CASTOR_HAD 11.30059 10.84420 10.83368 11.37318  7.57062  7.50207  7.34376  7.22345   560000BC
               -1              12              13      CASTOR_HAD  9.28645 10.18323 10.46053 10.18729  9.04366  8.96778  8.91485  8.85531   560000BD
               -1              12              14      CASTOR_HAD 10.84137 10.56089 10.44502 10.02125  5.67646  5.92103  5.90290  5.74119   560000BE
               -1              13               1       CASTOR_EM 11.78751 10.38695 12.11637 11.62672  9.26495  9.51257  9.48965  9.31027   560000C1
               -1              13               2       CASTOR_EM 11.97387 11.17166 11.13857 11.25191  7.13829  7.32869  7.42973  7.11543   560000C2
               -1              13               3      CASTOR_HAD 11.29676 11.32272 11.81313 11.63146  7.85541  8.02982  7.82794  7.60170   560000C3
               -1              13               4      CASTOR_HAD 10.71485 10.55492 11.46679 11.15326  7.05713  7.27694  7.24945  6.99168   560000C4
               -1              13               5      CASTOR_HAD 11.33854 10.84852 11.23437 11.43280  6.56700  6.92197  6.82737  6.53766   560000C5
               -1              13               6      CASTOR_HAD 10.79747 10.69626 10.98219 10.72558  8.49839  8.59293  8.59265  8.42269   560000C6
               -1              13               7      CASTOR_HAD 10.79807  9.69581 10.74597 10.59550  6.56422  6.79607  6.76921  6.56956   560000C7
               -1              13               8      CASTOR_HAD 10.09455  9.67617 11.18874 10.50324  8.41296  8.36069  8.33818  8.21426   560000C8
               -1              13               9      CASTOR_HAD  9.56559 10.35761  9.46623 10.27354  7.02856  7.03769  6.97933  6.85700   560000C9
               -1              13              10      CASTOR_HAD 10.78407 10.55984 10.93414 10.97696  7.85909  8.05765  7.98367  7.77812   560000CA
               -1              13              11      CASTOR_HAD 11.15860 11.29045 11.27220 11.50882 10.32033 10.36190 10.33498 10.16429   560000CB
               -1              13              12      CASTOR_HAD 10.14527 11.44164 10.76933 11.07773  6.67985  6.65900  6.66303  6.36296   560000CC
               -1              13              13      CASTOR_HAD 10.61581  9.47934 10.07762 10.31268  6.38248  6.52734  6.52413  6.41658   560000CD
               -1              13              14      CASTOR_HAD 10.51810 10.92489 11.33002 11.68418  6.65852  6.64991  6.30573  6.31041   560000CE
               -1              14               1       CASTOR_EM 10.49966 10.98007 10.29923 10.99384  8.46947  8.39212  8.26455  8.18434   560000D1
               -1              14               2       CASTOR_EM 11.71372 11.90909 12.52241 12.22129  7.61714  7.41537  7.15407  7.14536   560000D2
               -1              14               3      CASTOR_HAD 10.34175 10.62893 10.31330 10.64098  7.29137  7.18089  7.07079  6.97038   560000D3
               -1              14               4      CASTOR_HAD 10.07066  9.76268  9.29211 10.79244  7.55828  7.42463  7.48922  7.28416   560000D4
               -1              14               5      CASTOR_HAD 10.07348 10.45415 11.27044 11.46317  7.42066  7.31912  7.08535  7.05667   560000D5
               -1              14               6      CASTOR_HAD  9.70730  9.12624  9.56382  9.94605  7.31322  7.27049  7.18629  7.13894   560000D6
